,ANGOSTURA,CORANI,MIGUILLA,MISICUNI
1989-02-13 11:00:00+00:00,0.8449661251300162,0.7010266663081546,0.5645020235294119,0.619954324000125
1989-02-13 12:00:00+00:00,0.8449661251300162,0.7010266663081546,0.5645020235294119,0.619954324000125
1989-02-13 13:00:00+00:00,0.8449661251300162,0.7010266663081546,0.5645020235294119,0.619954324000125
1989-02-13 14:00:00+00:00,0.8449661251300162,0.7010266663081546,0.5645020235294119,0.619954324000125
1989-02-13 15:00:00+00:00,0.8449661251300162,0.7010266663081546,0.5645020235294119,0.619954324000125
1989-02-13 16:00:00+00:00,0.8449661251300162,0.7010266663081546,0.5645020235294119,0.619954324000125
1989-02-13 17:00:00+00:00,0.8449661251300162,0.7010266663081546,0.5645020235294119,0.619954324000125
1989-02-13 18:00:00+00:00,0.8449661251300162,0.7010266663081546,0.5645020235294119,0.619954324000125
1989-02-13 19:00:00+00:00,0.8449661251300162,0.7010266663081546,0.5645020235294119,0.619954324000125
1989-02-13 20:00:00+00:00,0.8449661251300162,0.7010266663081546,0.5645020235294119,0.619954324000125
1989-02-13 21:00:00+00:00,0.8449661251300162,0.7010266663081546,0.5645020235294119,0.619954324000125
1989-02-13 22:00:00+00:00,0.8449661251300162,0.7010266663081546,0.5645020235294119,0.619954324000125
1989-02-13 23:00:00+00:00,0.8449661251300162,0.7010266663081546,0.5645020235294119,0.619954324000125
1989-02-14 00:00:00+00:00,0.7996389949357947,0.6927310569543992,0.5513303096470589,0.587520370219125
1989-02-14 01:00:00+00:00,0.7996389949357947,0.6927310569543992,0.5513303096470589,0.587520370219125
1989-02-14 02:00:00+00:00,0.7996389949357947,0.6927310569543992,0.5513303096470589,0.587520370219125
1989-02-14 03:00:00+00:00,0.7996389949357947,0.6927310569543992,0.5513303096470589,0.587520370219125
1989-02-14 04:00:00+00:00,0.7996389949357947,0.6927310569543992,0.5513303096470589,0.587520370219125
1989-02-14 05:00:00+00:00,0.7996389949357947,0.6927310569543992,0.5513303096470589,0.587520370219125
1989-02-14 06:00:00+00:00,0.7996389949357947,0.6927310569543992,0.5513303096470589,0.587520370219125
1989-02-14 07:00:00+00:00,0.7996389949357947,0.6927310569543992,0.5513303096470589,0.587520370219125
1989-02-14 08:00:00+00:00,0.7996389949357947,0.6927310569543992,0.5513303096470589,0.587520370219125
1989-02-14 09:00:00+00:00,0.7996389949357947,0.6927310569543992,0.5513303096470589,0.587520370219125
1989-02-14 10:00:00+00:00,0.7996389949357947,0.6927310569543992,0.5513303096470589,0.587520370219125
1989-02-14 11:00:00+00:00,0.7996389949357947,0.6927310569543992,0.5513303096470589,0.587520370219125
1989-02-14 12:00:00+00:00,0.7996389949357947,0.6927310569543992,0.5513303096470589,0.587520370219125
1989-02-14 13:00:00+00:00,0.7996389949357947,0.6927310569543992,0.5513303096470589,0.587520370219125
1989-02-14 14:00:00+00:00,0.7996389949357947,0.6927310569543992,0.5513303096470589,0.587520370219125
1989-02-14 15:00:00+00:00,0.7996389949357947,0.6927310569543992,0.5513303096470589,0.587520370219125
1989-02-14 16:00:00+00:00,0.7996389949357947,0.6927310569543992,0.5513303096470589,0.587520370219125
1989-02-14 17:00:00+00:00,0.7996389949357947,0.6927310569543992,0.5513303096470589,0.587520370219125
1989-02-14 18:00:00+00:00,0.7996389949357947,0.6927310569543992,0.5513303096470589,0.587520370219125
1989-02-14 19:00:00+00:00,0.7996389949357947,0.6927310569543992,0.5513303096470589,0.587520370219125
1989-02-14 20:00:00+00:00,0.7996389949357947,0.6927310569543992,0.5513303096470589,0.587520370219125
1989-02-14 21:00:00+00:00,0.7996389949357947,0.6927310569543992,0.5513303096470589,0.587520370219125
1989-02-14 22:00:00+00:00,0.7996389949357947,0.6927310569543992,0.5513303096470589,0.587520370219125
1989-02-14 23:00:00+00:00,0.7996389949357947,0.6927310569543992,0.5513303096470589,0.587520370219125
1989-02-15 00:00:00+00:00,0.734641600695024,0.7292508084772532,0.5287502287058825,0.72786622873425
1989-02-15 01:00:00+00:00,0.734641600695024,0.7292508084772532,0.5287502287058825,0.72786622873425
1989-02-15 02:00:00+00:00,0.734641600695024,0.7292508084772532,0.5287502287058825,0.72786622873425
1989-02-15 03:00:00+00:00,0.734641600695024,0.7292508084772532,0.5287502287058825,0.72786622873425
1989-02-15 04:00:00+00:00,0.734641600695024,0.7292508084772532,0.5287502287058825,0.72786622873425
1989-02-15 05:00:00+00:00,0.734641600695024,0.7292508084772532,0.5287502287058825,0.72786622873425
1989-02-15 06:00:00+00:00,0.734641600695024,0.7292508084772532,0.5287502287058825,0.72786622873425
1989-02-15 07:00:00+00:00,0.734641600695024,0.7292508084772532,0.5287502287058825,0.72786622873425
1989-02-15 08:00:00+00:00,0.734641600695024,0.7292508084772532,0.5287502287058825,0.72786622873425
1989-02-15 09:00:00+00:00,0.734641600695024,0.7292508084772532,0.5287502287058825,0.72786622873425
1989-02-15 10:00:00+00:00,0.734641600695024,0.7292508084772532,0.5287502287058825,0.72786622873425
1989-02-15 11:00:00+00:00,0.734641600695024,0.7292508084772532,0.5287502287058825,0.72786622873425
1989-02-15 12:00:00+00:00,0.734641600695024,0.7292508084772532,0.5287502287058825,0.72786622873425
1989-02-15 13:00:00+00:00,0.734641600695024,0.7292508084772532,0.5287502287058825,0.72786622873425
1989-02-15 14:00:00+00:00,0.734641600695024,0.7292508084772532,0.5287502287058825,0.72786622873425
1989-02-15 15:00:00+00:00,0.734641600695024,0.7292508084772532,0.5287502287058825,0.72786622873425
1989-02-15 16:00:00+00:00,0.734641600695024,0.7292508084772532,0.5287502287058825,0.72786622873425
1989-02-15 17:00:00+00:00,0.734641600695024,0.7292508084772532,0.5287502287058825,0.72786622873425
1989-02-15 18:00:00+00:00,0.734641600695024,0.7292508084772532,0.5287502287058825,0.72786622873425
1989-02-15 19:00:00+00:00,0.734641600695024,0.7292508084772532,0.5287502287058825,0.72786622873425
1989-02-15 20:00:00+00:00,0.734641600695024,0.7292508084772532,0.5287502287058825,0.72786622873425
1989-02-15 21:00:00+00:00,0.734641600695024,0.7292508084772532,0.5287502287058825,0.72786622873425
1989-02-15 22:00:00+00:00,0.734641600695024,0.7292508084772532,0.5287502287058825,0.72786622873425
1989-02-15 23:00:00+00:00,0.734641600695024,0.7292508084772532,0.5287502287058825,0.72786622873425
1989-02-16 00:00:00+00:00,0.7354968295666132,0.7547097475284337,0.5362769223529411,0.8889146109393751
1989-02-16 01:00:00+00:00,0.7354968295666132,0.7547097475284337,0.5362769223529411,0.8889146109393751
1989-02-16 02:00:00+00:00,0.7354968295666132,0.7547097475284337,0.5362769223529411,0.8889146109393751
1989-02-16 03:00:00+00:00,0.7354968295666132,0.7547097475284337,0.5362769223529411,0.8889146109393751
1989-02-16 04:00:00+00:00,0.7354968295666132,0.7547097475284337,0.5362769223529411,0.8889146109393751
1989-02-16 05:00:00+00:00,0.7354968295666132,0.7547097475284337,0.5362769223529411,0.8889146109393751
1989-02-16 06:00:00+00:00,0.7354968295666132,0.7547097475284337,0.5362769223529411,0.8889146109393751
1989-02-16 07:00:00+00:00,0.7354968295666132,0.7547097475284337,0.5362769223529411,0.8889146109393751
1989-02-16 08:00:00+00:00,0.7354968295666132,0.7547097475284337,0.5362769223529411,0.8889146109393751
1989-02-16 09:00:00+00:00,0.7354968295666132,0.7547097475284337,0.5362769223529411,0.8889146109393751
1989-02-16 10:00:00+00:00,0.7354968295666132,0.7547097475284337,0.5362769223529411,0.8889146109393751
1989-02-16 11:00:00+00:00,0.7354968295666132,0.7547097475284337,0.5362769223529411,0.8889146109393751
1989-02-16 12:00:00+00:00,0.7354968295666132,0.7547097475284337,0.5362769223529411,0.8889146109393751
1989-02-16 13:00:00+00:00,0.7354968295666132,0.7547097475284337,0.5362769223529411,0.8889146109393751
1989-02-16 14:00:00+00:00,0.7354968295666132,0.7547097475284337,0.5362769223529411,0.8889146109393751
1989-02-16 15:00:00+00:00,0.7354968295666132,0.7547097475284337,0.5362769223529411,0.8889146109393751
1989-02-16 16:00:00+00:00,0.7354968295666132,0.7547097475284337,0.5362769223529411,0.8889146109393751
1989-02-16 17:00:00+00:00,0.7354968295666132,0.7547097475284337,0.5362769223529411,0.8889146109393751
1989-02-16 18:00:00+00:00,0.7354968295666132,0.7547097475284337,0.5362769223529411,0.8889146109393751
1989-02-16 19:00:00+00:00,0.7354968295666132,0.7547097475284337,0.5362769223529411,0.8889146109393751
1989-02-16 20:00:00+00:00,0.7354968295666132,0.7547097475284337,0.5362769223529411,0.8889146109393751
1989-02-16 21:00:00+00:00,0.7354968295666132,0.7547097475284337,0.5362769223529411,0.8889146109393751
1989-02-16 22:00:00+00:00,0.7354968295666132,0.7547097475284337,0.5362769223529411,0.8889146109393751
1989-02-16 23:00:00+00:00,0.7354968295666132,0.7547097475284337,0.5362769223529411,0.8889146109393751
1989-02-17 00:00:00+00:00,0.7697059844301765,0.739262750800751,0.5513303096470589,0.9083232268987499
1989-02-17 01:00:00+00:00,0.7697059844301765,0.739262750800751,0.5513303096470589,0.9083232268987499
1989-02-17 02:00:00+00:00,0.7697059844301765,0.739262750800751,0.5513303096470589,0.9083232268987499
1989-02-17 03:00:00+00:00,0.7697059844301765,0.739262750800751,0.5513303096470589,0.9083232268987499
1989-02-17 04:00:00+00:00,0.7697059844301765,0.739262750800751,0.5513303096470589,0.9083232268987499
1989-02-17 05:00:00+00:00,0.7697059844301765,0.739262750800751,0.5513303096470589,0.9083232268987499
1989-02-17 06:00:00+00:00,0.7697059844301765,0.739262750800751,0.5513303096470589,0.9083232268987499
1989-02-17 07:00:00+00:00,0.7697059844301765,0.739262750800751,0.5513303096470589,0.9083232268987499
1989-02-17 08:00:00+00:00,0.7697059844301765,0.739262750800751,0.5513303096470589,0.9083232268987499
1989-02-17 09:00:00+00:00,0.7697059844301765,0.739262750800751,0.5513303096470589,0.9083232268987499
1989-02-17 10:00:00+00:00,0.7697059844301765,0.739262750800751,0.5513303096470589,0.9083232268987499
1989-02-17 11:00:00+00:00,0.7697059844301765,0.739262750800751,0.5513303096470589,0.9083232268987499
1989-02-17 12:00:00+00:00,0.7697059844301765,0.739262750800751,0.5513303096470589,0.9083232268987499
1989-02-17 13:00:00+00:00,0.7697059844301765,0.739262750800751,0.5513303096470589,0.9083232268987499
1989-02-17 14:00:00+00:00,0.7697059844301765,0.739262750800751,0.5513303096470589,0.9083232268987499
1989-02-17 15:00:00+00:00,0.7697059844301765,0.739262750800751,0.5513303096470589,0.9083232268987499
1989-02-17 16:00:00+00:00,0.7697059844301765,0.739262750800751,0.5513303096470589,0.9083232268987499
1989-02-17 17:00:00+00:00,0.7697059844301765,0.739262750800751,0.5513303096470589,0.9083232268987499
1989-02-17 18:00:00+00:00,0.7697059844301765,0.739262750800751,0.5513303096470589,0.9083232268987499
1989-02-17 19:00:00+00:00,0.7697059844301765,0.739262750800751,0.5513303096470589,0.9083232268987499
1989-02-17 20:00:00+00:00,0.7697059844301765,0.739262750800751,0.5513303096470589,0.9083232268987499
1989-02-17 21:00:00+00:00,0.7697059844301765,0.739262750800751,0.5513303096470589,0.9083232268987499
1989-02-17 22:00:00+00:00,0.7697059844301765,0.739262750800751,0.5513303096470589,0.9083232268987499
1989-02-17 23:00:00+00:00,0.7697059844301765,0.739262750800751,0.5513303096470589,0.9083232268987499
1989-02-18 00:00:00+00:00,0.8492422694879614,0.7192388661537553,0.5833187576470591,0.8536340601510002
1989-02-18 01:00:00+00:00,0.8492422694879614,0.7192388661537553,0.5833187576470591,0.8536340601510002
1989-02-18 02:00:00+00:00,0.8492422694879614,0.7192388661537553,0.5833187576470591,0.8536340601510002
1989-02-18 03:00:00+00:00,0.8492422694879614,0.7192388661537553,0.5833187576470591,0.8536340601510002
1989-02-18 04:00:00+00:00,0.8492422694879614,0.7192388661537553,0.5833187576470591,0.8536340601510002
1989-02-18 05:00:00+00:00,0.8492422694879614,0.7192388661537553,0.5833187576470591,0.8536340601510002
1989-02-18 06:00:00+00:00,0.8492422694879614,0.7192388661537553,0.5833187576470591,0.8536340601510002
1989-02-18 07:00:00+00:00,0.8492422694879614,0.7192388661537553,0.5833187576470591,0.8536340601510002
1989-02-18 08:00:00+00:00,0.8492422694879614,0.7192388661537553,0.5833187576470591,0.8536340601510002
1989-02-18 09:00:00+00:00,0.8492422694879614,0.7192388661537553,0.5833187576470591,0.8536340601510002
1989-02-18 10:00:00+00:00,0.8492422694879614,0.7192388661537553,0.5833187576470591,0.8536340601510002
1989-02-18 11:00:00+00:00,0.8492422694879614,0.7192388661537553,0.5833187576470591,0.8536340601510002
1989-02-18 12:00:00+00:00,0.8492422694879614,0.7192388661537553,0.5833187576470591,0.8536340601510002
1989-02-18 13:00:00+00:00,0.8492422694879614,0.7192388661537553,0.5833187576470591,0.8536340601510002
1989-02-18 14:00:00+00:00,0.8492422694879614,0.7192388661537553,0.5833187576470591,0.8536340601510002
1989-02-18 15:00:00+00:00,0.8492422694879614,0.7192388661537553,0.5833187576470591,0.8536340601510002
1989-02-18 16:00:00+00:00,0.8492422694879614,0.7192388661537553,0.5833187576470591,0.8536340601510002
1989-02-18 17:00:00+00:00,0.8492422694879614,0.7192388661537553,0.5833187576470591,0.8536340601510002
1989-02-18 18:00:00+00:00,0.8492422694879614,0.7192388661537553,0.5833187576470591,0.8536340601510002
1989-02-18 19:00:00+00:00,0.8492422694879614,0.7192388661537553,0.5833187576470591,0.8536340601510002
1989-02-18 20:00:00+00:00,0.8492422694879614,0.7192388661537553,0.5833187576470591,0.8536340601510002
1989-02-18 21:00:00+00:00,0.8492422694879614,0.7192388661537553,0.5833187576470591,0.8536340601510002
1989-02-18 22:00:00+00:00,0.8492422694879614,0.7192388661537553,0.5833187576470591,0.8536340601510002
1989-02-18 23:00:00+00:00,0.8492422694879614,0.7192388661537553,0.5833187576470591,0.8536340601510002
1989-02-19 00:00:00+00:00,0.8834514243515248,0.694256686260837,0.5983721449411765,0.7829004375435
1989-02-19 01:00:00+00:00,0.8834514243515248,0.694256686260837,0.5983721449411765,0.7829004375435
1989-02-19 02:00:00+00:00,0.8834514243515248,0.694256686260837,0.5983721449411765,0.7829004375435
1989-02-19 03:00:00+00:00,0.8834514243515248,0.694256686260837,0.5983721449411765,0.7829004375435
1989-02-19 04:00:00+00:00,0.8834514243515248,0.694256686260837,0.5983721449411765,0.7829004375435
1989-02-19 05:00:00+00:00,0.8834514243515248,0.694256686260837,0.5983721449411765,0.7829004375435
1989-02-19 06:00:00+00:00,0.8834514243515248,0.694256686260837,0.5983721449411765,0.7829004375435
1989-02-19 07:00:00+00:00,0.8834514243515248,0.694256686260837,0.5983721449411765,0.7829004375435
1989-02-19 08:00:00+00:00,0.8834514243515248,0.694256686260837,0.5983721449411765,0.7829004375435
1989-02-19 09:00:00+00:00,0.8834514243515248,0.694256686260837,0.5983721449411765,0.7829004375435
1989-02-19 10:00:00+00:00,0.8834514243515248,0.694256686260837,0.5983721449411765,0.7829004375435
1989-02-19 11:00:00+00:00,0.8834514243515248,0.694256686260837,0.5983721449411765,0.7829004375435
1989-02-19 12:00:00+00:00,0.8834514243515248,0.694256686260837,0.5983721449411765,0.7829004375435
1989-02-19 13:00:00+00:00,0.8834514243515248,0.694256686260837,0.5983721449411765,0.7829004375435
1989-02-19 14:00:00+00:00,0.8834514243515248,0.694256686260837,0.5983721449411765,0.7829004375435
1989-02-19 15:00:00+00:00,0.8834514243515248,0.694256686260837,0.5983721449411765,0.7829004375435
1989-02-19 16:00:00+00:00,0.8834514243515248,0.694256686260837,0.5983721449411765,0.7829004375435
1989-02-19 17:00:00+00:00,0.8834514243515248,0.694256686260837,0.5983721449411765,0.7829004375435
1989-02-19 18:00:00+00:00,0.8834514243515248,0.694256686260837,0.5983721449411765,0.7829004375435
1989-02-19 19:00:00+00:00,0.8834514243515248,0.694256686260837,0.5983721449411765,0.7829004375435
1989-02-19 20:00:00+00:00,0.8834514243515248,0.694256686260837,0.5983721449411765,0.7829004375435
1989-02-19 21:00:00+00:00,0.8834514243515248,0.694256686260837,0.5983721449411765,0.7829004375435
1989-02-19 22:00:00+00:00,0.8834514243515248,0.694256686260837,0.5983721449411765,0.7829004375435
1989-02-19 23:00:00+00:00,0.8834514243515248,0.694256686260837,0.5983721449411765,0.7829004375435
1989-02-20 00:00:00+00:00,0.945883131977528,0.670228024684442,0.6454139802352942,0.7926478757808751
1989-02-20 01:00:00+00:00,0.945883131977528,0.670228024684442,0.6454139802352942,0.7926478757808751
1989-02-20 02:00:00+00:00,0.945883131977528,0.670228024684442,0.6454139802352942,0.7926478757808751
1989-02-20 03:00:00+00:00,0.945883131977528,0.670228024684442,0.6454139802352942,0.7926478757808751
1989-02-20 04:00:00+00:00,0.945883131977528,0.670228024684442,0.6454139802352942,0.7926478757808751
1989-02-20 05:00:00+00:00,0.945883131977528,0.670228024684442,0.6454139802352942,0.7926478757808751
1989-02-20 06:00:00+00:00,0.945883131977528,0.670228024684442,0.6454139802352942,0.7926478757808751
1989-02-20 07:00:00+00:00,0.945883131977528,0.670228024684442,0.6454139802352942,0.7926478757808751
1989-02-20 08:00:00+00:00,0.945883131977528,0.670228024684442,0.6454139802352942,0.7926478757808751
1989-02-20 09:00:00+00:00,0.945883131977528,0.670228024684442,0.6454139802352942,0.7926478757808751
1989-02-20 10:00:00+00:00,0.945883131977528,0.670228024684442,0.6454139802352942,0.7926478757808751
1989-02-20 11:00:00+00:00,0.945883131977528,0.670228024684442,0.6454139802352942,0.7926478757808751
1989-02-20 12:00:00+00:00,0.945883131977528,0.670228024684442,0.6454139802352942,0.7926478757808751
1989-02-20 13:00:00+00:00,0.945883131977528,0.670228024684442,0.6454139802352942,0.7926478757808751
1989-02-20 14:00:00+00:00,0.945883131977528,0.670228024684442,0.6454139802352942,0.7926478757808751
1989-02-20 15:00:00+00:00,0.945883131977528,0.670228024684442,0.6454139802352942,0.7926478757808751
1989-02-20 16:00:00+00:00,0.945883131977528,0.670228024684442,0.6454139802352942,0.7926478757808751
1989-02-20 17:00:00+00:00,0.945883131977528,0.670228024684442,0.6454139802352942,0.7926478757808751
1989-02-20 18:00:00+00:00,0.945883131977528,0.670228024684442,0.6454139802352942,0.7926478757808751
1989-02-20 19:00:00+00:00,0.945883131977528,0.670228024684442,0.6454139802352942,0.7926478757808751
1989-02-20 20:00:00+00:00,0.945883131977528,0.670228024684442,0.6454139802352942,0.7926478757808751
1989-02-20 21:00:00+00:00,0.945883131977528,0.670228024684442,0.6454139802352942,0.7926478757808751
1989-02-20 22:00:00+00:00,0.945883131977528,0.670228024684442,0.6454139802352942,0.7926478757808751
